timestamp,airquality_raw,city,dust,humidity,light,sound,temperature
2015-03-01 08:00:00,42,Shanghai,3991.65,61.6,4320,2804,18.0
2015-03-01 09:00:00,42,Shanghai,4312.31,58.1,6166,2852,21.7
2015-03-01 10:00:00,47,Shanghai,4622.66,55.5,8255,2852,24.4
2015-03-01 11:00:00,40,Shanghai,6225.8,53.5,9711,2852,27.0
2015-03-01 12:00:00,38,Shanghai,4964.99,49.3,9363,2848,29.2
2015-03-01 13:00:00,37,Shanghai,4495.79,47.8,8073,2836,30.7
2015-03-01 14:00:00,38,Shanghai,4294.52,46.0,6881,2824,30.2
2015-03-01 15:00:00,47,Shanghai,4419.24,44.1,4597,2820,28.9
2015-03-01 16:00:00,40,Shanghai,6952.41,46.0,1985,2816,23.7
2015-03-01 17:00:00,43,Shanghai,4741.47,48.1,466,2812,21.9
2015-03-01 18:00:00,44,Shanghai,4359.94,53.5,14,2812,20.8
2015-03-01 19:00:00,45,Shanghai,4460.76,52.7,14,2804,20.0
2015-03-01 20:00:00,45,Shanghai,4368.48,57.3,14,2808,19.8
2015-03-01 21:00:00,44,Shanghai,4935.98,58.6,14,2836,19.5
2015-03-01 22:00:00,44,Shanghai,4801.57,57.4,14,2808,19.3
2015-03-01 23:00:00,46,Shanghai,4626.93,56.4,14,2808,19.1
2015-03-02 00:00:00,47,Shanghai,4774.17,56.9,0,2812,19.0
2015-03-02 01:00:00,47,Shanghai,5115.49,57.6,0,2808,18.9
2015-03-02 02:00:00,51,Shanghai,5053.41,62.3,0,2804,18.7
2015-03-02 03:00:00,48,Shanghai,5466.84,64.1,0,2804,18.4
2015-03-02 04:00:00,61,Shanghai,4942.23,64.3,0,2800,18.0
2015-03-02 05:00:00,54,Shanghai,5005.71,66.6,0,2800,17.7
2015-03-02 06:00:00,51,Shanghai,5232.53,68.1,423,2800,17.6
2015-03-02 07:00:00,51,Shanghai,5228.02,67.4,1506,2812,17.7
2015-03-02 08:00:00,48,Shanghai,5202.5,60.9,4708,2848,18.6
2015-03-02 09:00:00,48,Shanghai,13589.26,51.0,8059,2856,19.3
2015-03-02 10:00:00,45,Shanghai,46769.48,52.7,9595,2860,20.5
2015-03-02 11:00:00,44,Shanghai,27434.02,53.7,10987,2868,23.2
2015-03-02 12:00:00,42,Shanghai,26410.83,52.4,11255,2868,27.5
2015-03-02 13:00:00,41,Shanghai,15824.28,53.1,8705,2912,25.8
2015-03-02 14:00:00,42,Shanghai,25746.86,54.9,6891,2908,25.7
2015-03-02 15:00:00,41,Shanghai,22364.04,56.2,6099,2908,23.2
2015-03-02 16:00:00,40,Shanghai,11107.05,57.4,4551,2864,23.3
2015-03-02 17:00:00,39,Shanghai,21547.72,60.9,910,2872,22.8
2015-03-02 18:00:00,48,Shanghai,15206.61,64.3,28,2864,21.5
2015-03-02 19:00:00,40,Shanghai,13484.26,63.2,14,2864,20.5
2015-03-02 20:00:00,41,Shanghai,9874.33,62.3,0,2860,20.1
2015-03-02 21:00:00,39,Shanghai,4277.84,60.7,14,2864,19.8
2015-03-02 22:00:00,43,Shanghai,3990.26,65.7,14,2860,19.5
2015-03-02 23:00:00,39,Shanghai,4039.44,70.9,0,2856,19.4
2015-03-03 00:00:00,43,Shanghai,5031.0,79.8,0,2832,19.4
2015-03-03 01:00:00,43,Shanghai,4512.94,80.3,0,2812,19.5
2015-03-03 02:00:00,55,Shanghai,4151.69,79.5,0,2824,19.5
2015-03-03 03:00:00,47,Shanghai,4464.95,75.5,0,2816,19.5
2015-03-03 04:00:00,46,Shanghai,5185.81,76.9,0,2816,19.5
2015-03-03 05:00:00,48,Shanghai,4584.66,77.0,0,2816,19.5
2015-03-03 06:00:00,63,Shanghai,5356.48,77.2,337,2816,19.3
2015-03-03 07:00:00,66,Shanghai,4742.16,76.9,995,2816,19.4
2015-03-03 08:00:00,51,Shanghai,5043.11,75.5,3507,2820,19.7
2015-03-03 09:00:00,49,Shanghai,5607.75,69.3,6719,2836,22.8
2015-03-03 10:00:00,49,Shanghai,5647.86,59.9,7437,2844,25.8
2015-03-03 11:00:00,44,Shanghai,4614.91,52.6,8354,2860,27.1
2015-03-03 12:00:00,44,Shanghai,5337.74,51.5,8860,2848,27.9
2015-03-03 13:00:00,47,Shanghai,4666.98,54.5,5264,2868,26.0
2015-03-03 14:00:00,48,Shanghai,5223.78,54.6,5385,2852,23.5
2015-03-03 15:00:00,64,Shanghai,4660.36,51.4,4114,2876,24.1
2015-03-03 16:00:00,48,Shanghai,4448.48,50.4,2046,2876,24.1
2015-03-03 17:00:00,49,Shanghai,6541.08,66.2,497,2876,23.5
2015-03-03 18:00:00,55,Shanghai,6082.12,65.4,14,2860,22.4
2015-03-03 19:00:00,42,Shanghai,4899.51,62.8,14,2856,21.6
