timestamp,airquality_raw,dust,humidity,light,sound,source,temperature,city
2015-02-28 16:00:00,23,2347.81,39.4,158,2632,ci4yfbbdb000d03zzoq8kjdl0,20.6,San Francisco
2015-02-28 17:00:00,25,2353.85,41.5,99,2628,ci4yfbbdb000d03zzoq8kjdl0,19.7,San Francisco
2015-02-28 18:00:00,24,2223.11,42.9,14,2528,ci4yfbbdb000d03zzoq8kjdl0,19.0,San Francisco
2015-02-28 19:00:00,26,2495.71,45.9,14,2572,ci4yfbbdb000d03zzoq8kjdl0,18.2,San Francisco
2015-02-28 20:00:00,25,2017.86,49.0,14,2612,ci4yfbbdb000d03zzoq8kjdl0,18.0,San Francisco
2015-02-28 21:00:00,26,2186.05,53.2,14,2540,ci4yfbbdb000d03zzoq8kjdl0,17.5,San Francisco
2015-02-28 22:00:00,26,2279.07,52.1,14,2640,ci4yfbbdb000d03zzoq8kjdl0,17.1,San Francisco
2015-02-28 23:00:00,27,2233.86,51.2,0,2544,ci4yfbbdb000d03zzoq8kjdl0,16.7,San Francisco
2015-03-01 00:00:00,28,2176.78,50.8,14,2592,ci4yfbbdb000d03zzoq8kjdl0,16.4,San Francisco
2015-03-01 01:00:00,27,2191.49,55.3,0,2580,ci4yfbbdb000d03zzoq8kjdl0,16.0,San Francisco
2015-03-01 02:00:00,24,2993.73,53.7,0,2620,ci4yfbbdb000d03zzoq8kjdl0,16.2,San Francisco
2015-03-01 03:00:00,23,2399.19,52.2,0,2588,ci4yfbbdb000d03zzoq8kjdl0,16.3,San Francisco
2015-03-01 04:00:00,25,2381.02,51.4,14,2604,ci4yfbbdb000d03zzoq8kjdl0,16.1,San Francisco
2015-03-01 05:00:00,24,2422.21,52.2,0,2624,ci4yfbbdb000d03zzoq8kjdl0,15.4,San Francisco
2015-03-01 06:00:00,23,2209.97,46.0,24,2588,ci4yfbbdb000d03zzoq8kjdl0,14.9,San Francisco
2015-03-01 07:00:00,21,2403.39,43.2,86,2484,ci4yfbbdb000d03zzoq8kjdl0,15.4,San Francisco
2015-03-01 08:00:00,19,2618.37,37.1,172,2508,ci4yfbbdb000d03zzoq8kjdl0,16.5,San Francisco
2015-03-01 09:00:00,31,2070.45,34.2,186,2624,ci4yfbbdb000d03zzoq8kjdl0,18.0,San Francisco
2015-03-01 10:00:00,19,2524.53,30.4,202,2612,ci4yfbbdb000d03zzoq8kjdl0,18.3,San Francisco
2015-03-01 11:00:00,19,2622.89,28.2,165,2668,ci4yfbbdb000d03zzoq8kjdl0,18.9,San Francisco
2015-03-01 12:00:00,22,2262.58,28.3,9310,2780,ci4yfbbdb000d03zzoq8kjdl0,25.9,San Francisco
2015-03-01 13:00:00,23,2086.63,20.5,8787,2720,ci4yfbbdb000d03zzoq8kjdl0,31.0,San Francisco
2015-03-01 14:00:00,20,2251.98,30.3,244,2744,ci4yfbbdb000d03zzoq8kjdl0,24.5,San Francisco
2015-03-01 15:00:00,21,2515.98,39.0,170,2588,ci4yfbbdb000d03zzoq8kjdl0,20.9,San Francisco
2015-03-01 16:00:00,23,2611.07,46.1,125,2620,ci4yfbbdb000d03zzoq8kjdl0,20.0,San Francisco
2015-03-01 17:00:00,23,2398.72,47.4,72,2596,ci4yfbbdb000d03zzoq8kjdl0,18.7,San Francisco
2015-03-01 18:00:00,22,2037.05,47.7,14,2600,ci4yfbbdb000d03zzoq8kjdl0,17.9,San Francisco
2015-03-01 19:00:00,23,2478.34,51.9,0,2608,ci4yfbbdb000d03zzoq8kjdl0,17.3,San Francisco
